,FileName,angry,sad,neutral,happy,EmoAct,EmoVal,SpkrID,Gender,Split_Set,dominant_emotion
276,MSP-IMPROV-S09N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.2,0.44999999999999996,3,Female,Development,neutral
281,MSP-IMPROV-S09N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.1785715,0.46428575000000005,3,Male,Development,neutral
284,MSP-IMPROV-S09S-F03-R-FF01.wav,0.016667,0.95,0.016667,0.016667,0.16666674999999997,0.16666674999999997,3,Female,Development,sad
291,MSP-IMPROV-S09S-M03-R-MM02.wav,0.016667,0.95,0.016667,0.016667,0.2,0.2,3,Male,Development,sad
293,MSP-IMPROV-S10A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.8500000000000001,0.04999999999999999,3,Female,Development,angry
299,MSP-IMPROV-S10A-M03-R-MM01.wav,0.95,0.016667,0.016667,0.016667,0.65,0.25,3,Male,Development,angry
301,MSP-IMPROV-S10H-F03-R-FF01.wav,0.016667,0.416667,0.016667,0.55,0.5714285,0.53571425,3,Female,Development,happy
307,MSP-IMPROV-S10H-M03-R-MM01.wav,0.016667,0.016667,0.39,0.576667,0.5,0.75,3,Male,Development,happy
309,MSP-IMPROV-S10N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.14285725,0.53571425,3,Female,Development,neutral
314,MSP-IMPROV-S10N-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.09999999999999998,0.44999999999999996,3,Male,Development,neutral
317,MSP-IMPROV-S10S-F03-R-FF01.wav,0.016667,0.763333,0.203333,0.016667,0.35,0.25,3,Female,Development,sad
324,MSP-IMPROV-S10S-M03-R-MM02.wav,0.016667,0.763333,0.203333,0.016667,0.25,0.25,3,Male,Development,sad
326,MSP-IMPROV-S11A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.7,0.09999999999999998,3,Female,Development,angry
331,MSP-IMPROV-S11A-M03-R-MM01.wav,0.763333,0.016667,0.203333,0.016667,0.44999999999999996,0.25,3,Male,Development,angry
333,MSP-IMPROV-S11H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.65,0.8500000000000001,3,Female,Development,happy
338,MSP-IMPROV-S11H-M03-R-MM01.wav,0.016667,0.016667,0.016667,0.95,0.75,0.8,3,Male,Development,happy
340,MSP-IMPROV-S11N-F03-R-FF01.wav,0.016667,0.203333,0.763333,0.016667,0.09999999999999998,0.44999999999999996,3,Female,Development,neutral
345,MSP-IMPROV-S11N-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.15000000000000002,0.30000000000000004,3,Male,Development,neutral
347,MSP-IMPROV-S11S-F03-R-FF01.wav,0.016667,0.95,0.016667,0.016667,0.15000000000000002,0.15000000000000002,3,Female,Development,sad
352,MSP-IMPROV-S11S-M03-R-MM01.wav,0.016667,0.716667,0.25,0.016667,0.15000000000000002,0.30000000000000004,3,Male,Development,sad
354,MSP-IMPROV-S12A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.75,0.0,3,Female,Development,angry
359,MSP-IMPROV-S12A-M03-R-MM01.wav,0.576667,0.016667,0.39,0.016667,0.4,0.30000000000000004,3,Male,Development,angry
361,MSP-IMPROV-S12H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.75,0.875,3,Female,Development,happy
366,MSP-IMPROV-S12H-M03-R-MM01.wav,0.016667,0.016667,0.203333,0.763333,0.35,0.65,3,Male,Development,happy
368,MSP-IMPROV-S12N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.15000000000000002,0.35,3,Female,Development,neutral
373,MSP-IMPROV-S12N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.2,0.44999999999999996,3,Male,Development,neutral
375,MSP-IMPROV-S12S-F03-R-FF01.wav,0.763333,0.203333,0.016667,0.016667,0.33333325,0.16666674999999997,3,Female,Development,angry
380,MSP-IMPROV-S12S-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.15000000000000002,0.5,3,Male,Development,neutral
382,MSP-IMPROV-S13A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.6,0.09999999999999998,3,Female,Development,angry
387,MSP-IMPROV-S13A-M03-R-MM01.wav,0.95,0.016667,0.016667,0.016667,0.60714275,0.14285725,3,Male,Development,angry
389,MSP-IMPROV-S13H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.7,0.65,3,Female,Development,happy
394,MSP-IMPROV-S13H-M03-R-MM01.wav,0.016667,0.016667,0.12037,0.846296,0.41666675,0.72222225,3,Male,Development,happy
401,MSP-IMPROV-S13N-M03-R-MM01.wav,0.25,0.25,0.483333,0.016667,0.09999999999999998,0.2,3,Male,Development,neutral
403,MSP-IMPROV-S13S-F03-R-FF01.wav,0.794444,0.172222,0.016667,0.016667,0.375,0.20833325000000003,3,Female,Development,angry
408,MSP-IMPROV-S13S-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.15625,0.375,3,Male,Development,neutral
410,MSP-IMPROV-S14A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.5,0.19444450000000002,3,Female,Development,angry
415,MSP-IMPROV-S14A-M03-R-MM01.wav,0.95,0.016667,0.016667,0.016667,0.4,0.25,3,Male,Development,angry
417,MSP-IMPROV-S14H-F03-R-FF01.wav,0.172222,0.016667,0.327778,0.483333,0.29166675,0.66666675,3,Female,Development,happy
422,MSP-IMPROV-S14H-M03-R-MM01.wav,0.016667,0.016667,0.576667,0.39,0.5,0.6,3,Male,Development,neutral
424,MSP-IMPROV-S14N-F03-R-FF01.wav,0.203333,0.016667,0.763333,0.016667,0.04999999999999999,0.35,3,Female,Development,neutral
429,MSP-IMPROV-S14N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.041666749999999975,0.45833325,3,Male,Development,neutral
431,MSP-IMPROV-S14S-F03-R-FF01.wav,0.224074,0.535185,0.12037,0.12037,0.25,0.13888899999999998,3,Female,Development,sad
438,MSP-IMPROV-S15A-F03-R-FF01.wav,0.833333,0.016667,0.133333,0.016667,0.611111,0.16666674999999997,3,Female,Development,angry
443,MSP-IMPROV-S15A-M03-R-MM01.wav,0.576667,0.016667,0.203333,0.203333,0.4,0.25,3,Male,Development,angry
445,MSP-IMPROV-S15H-F03-R-FF01.wav,0.016667,0.016667,0.327778,0.638889,0.45833325,0.625,3,Female,Development,happy
450,MSP-IMPROV-S15H-M03-R-MM01.wav,0.016667,0.016667,0.39,0.576667,0.4,0.7,3,Male,Development,happy
452,MSP-IMPROV-S15N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.35,0.5,3,Female,Development,neutral
457,MSP-IMPROV-S15N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.20833325000000003,0.45833325,3,Male,Development,neutral
459,MSP-IMPROV-S15S-F03-R-FF01.wav,0.016667,0.794444,0.172222,0.016667,0.29166675,0.29166675,3,Female,Development,sad
464,MSP-IMPROV-S15S-M03-R-MM01.wav,0.016667,0.39,0.576667,0.016667,0.16666674999999997,0.25,3,Male,Development,neutral
467,MSP-IMPROV-S16A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.65,0.09999999999999998,3,Female,Development,angry
472,MSP-IMPROV-S16A-M03-R-MM01.wav,0.39,0.016667,0.576667,0.016667,0.4,0.35,3,Male,Development,neutral
474,MSP-IMPROV-S16H-F03-R-FF01.wav,0.15,0.016667,0.283333,0.55,0.5714285,0.60714275,3,Female,Development,happy
479,MSP-IMPROV-S16H-M03-R-MM01.wav,0.016667,0.016667,0.576667,0.39,0.5,0.7,3,Male,Development,neutral
481,MSP-IMPROV-S16N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.25,0.55,3,Female,Development,neutral
487,MSP-IMPROV-S16N-M03-R-MM01.wav,0.016667,0.638889,0.327778,0.016667,0.15000000000000002,0.30000000000000004,3,Male,Development,sad
489,MSP-IMPROV-S16S-F03-R-FF01.wav,0.483333,0.25,0.25,0.016667,0.3214285,0.1785715,3,Female,Development,angry
490,MSP-IMPROV-S16S-F03-R-FF02.wav,0.016667,0.39,0.576667,0.016667,0.15000000000000002,0.30000000000000004,3,Female,Development,neutral
495,MSP-IMPROV-S16S-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.15000000000000002,0.30000000000000004,3,Male,Development,neutral
498,MSP-IMPROV-S17A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.8999999999999999,0.09999999999999998,3,Female,Development,angry
503,MSP-IMPROV-S17A-M03-R-MM01.wav,0.95,0.016667,0.016667,0.016667,0.6,0.25,3,Male,Development,angry
505,MSP-IMPROV-S17H-F03-R-FF01.wav,0.203333,0.016667,0.016667,0.763333,0.5,0.65,3,Female,Development,happy
510,MSP-IMPROV-S17H-M03-R-MM01.wav,0.016667,0.016667,0.016667,0.95,0.55,0.75,3,Male,Development,happy
518,MSP-IMPROV-S17N-M03-R-MM01.wav,0.203333,0.016667,0.763333,0.016667,0.09999999999999998,0.4,3,Male,Development,neutral
520,MSP-IMPROV-S17S-F03-R-FF01.wav,0.55,0.283333,0.15,0.016667,0.5,0.15625,3,Female,Development,angry
521,MSP-IMPROV-S17S-F03-R-FF02.wav,0.576667,0.39,0.016667,0.016667,0.30000000000000004,0.2,3,Female,Development,angry
526,MSP-IMPROV-S17S-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.44999999999999996,3,Male,Development,neutral
529,MSP-IMPROV-S18A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.66666675,0.125,3,Female,Development,angry
534,MSP-IMPROV-S18A-M03-R-MM01.wav,0.763333,0.016667,0.203333,0.016667,0.55,0.2,3,Male,Development,angry
536,MSP-IMPROV-S18H-F03-R-FF01.wav,0.25,0.016667,0.016667,0.716667,0.35,0.7,3,Female,Development,happy
541,MSP-IMPROV-S18H-M03-R-MM01.wav,0.016667,0.016667,0.016667,0.95,0.3125,0.65625,3,Male,Development,happy
543,MSP-IMPROV-S18N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.25,0.5,3,Female,Development,neutral
549,MSP-IMPROV-S18N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.30000000000000004,0.44999999999999996,3,Male,Development,neutral
551,MSP-IMPROV-S18S-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.4285715,0.14285725,3,Female,Development,angry
552,MSP-IMPROV-S18S-F03-R-FF02.wav,0.25,0.483333,0.25,0.016667,0.28125,0.25,3,Female,Development,sad
560,MSP-IMPROV-S19A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.7,0.09999999999999998,3,Female,Development,angry
565,MSP-IMPROV-S19A-M03-R-MM01.wav,0.794444,0.016667,0.016667,0.172222,0.66666675,0.16666674999999997,3,Male,Development,angry
567,MSP-IMPROV-S19H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.5,0.75,3,Female,Development,happy
572,MSP-IMPROV-S19H-M03-R-MM01.wav,0.483333,0.016667,0.25,0.25,0.44999999999999996,0.44999999999999996,3,Male,Development,angry
574,MSP-IMPROV-S19N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.30000000000000004,0.44999999999999996,3,Female,Development,neutral
580,MSP-IMPROV-S19N-M03-R-MM01.wav,0.016667,0.172222,0.794444,0.016667,0.125,0.45833325,3,Male,Development,neutral
582,MSP-IMPROV-S19S-F03-R-FF01.wav,0.016667,0.95,0.016667,0.016667,0.5,0.09999999999999998,3,Female,Development,sad
583,MSP-IMPROV-S19S-F03-R-FF02.wav,0.576667,0.39,0.016667,0.016667,0.65,0.15000000000000002,3,Female,Development,angry
588,MSP-IMPROV-S19S-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.09999999999999998,0.44999999999999996,3,Male,Development,neutral
591,MSP-IMPROV-S20A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.5,0.125,3,Female,Development,angry
596,MSP-IMPROV-S20A-M03-R-MM01.wav,0.95,0.016667,0.016667,0.016667,0.625,0.16666674999999997,3,Male,Development,angry
598,MSP-IMPROV-S20H-F03-R-FF01.wav,0.016667,0.016667,0.203333,0.763333,0.4,0.7,3,Female,Development,happy
603,MSP-IMPROV-S20H-M03-R-MM01.wav,0.016667,0.016667,0.203333,0.763333,0.55,0.7,3,Male,Development,happy
605,MSP-IMPROV-S20N-F03-R-FF01.wav,0.016667,0.283333,0.683333,0.016667,0.21428575,0.4285715,3,Female,Development,neutral
611,MSP-IMPROV-S20N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.25,0.44999999999999996,3,Male,Development,neutral
614,MSP-IMPROV-S20S-F03-R-FF02.wav,0.016667,0.95,0.016667,0.016667,0.5,0.30000000000000004,3,Female,Development,sad
619,MSP-IMPROV-S20S-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.5,3,Male,Development,neutral
646,MSP-IMPROV-S01A-F03-P-FM01.wav,0.016667,0.016667,0.25,0.716667,0.44999999999999996,0.55,3,Female,Development,happy
647,MSP-IMPROV-S01A-F03-P-FM02.wav,0.016667,0.016667,0.576667,0.39,0.5,0.65,3,Female,Development,neutral
648,MSP-IMPROV-S01A-F03-P-FM03.wav,0.016667,0.016667,0.95,0.016667,0.25,0.5,3,Female,Development,neutral
649,MSP-IMPROV-S01A-F03-P-FM04.wav,0.016667,0.016667,0.95,0.016667,0.2,0.5,3,Female,Development,neutral
650,MSP-IMPROV-S01A-F03-P-FM05.wav,0.016667,0.016667,0.95,0.016667,0.10714275000000001,0.64285725,3,Female,Development,neutral
651,MSP-IMPROV-S01A-F03-P-FM06.wav,0.016667,0.016667,0.763333,0.203333,0.2,0.55,3,Female,Development,neutral
652,MSP-IMPROV-S01A-F03-P-FM07.wav,0.016667,0.25,0.716667,0.016667,0.4,0.35,3,Female,Development,neutral
653,MSP-IMPROV-S01A-F03-P-MF01.wav,0.016667,0.016667,0.95,0.016667,0.041666749999999975,0.5,3,Female,Development,neutral
654,MSP-IMPROV-S01A-F03-P-MF02.wav,0.016667,0.016667,0.39,0.576667,0.35,0.5,3,Female,Development,happy
655,MSP-IMPROV-S01A-F03-P-MF03.wav,0.016667,0.016667,0.95,0.016667,0.29166675,0.45833325,3,Female,Development,neutral
656,MSP-IMPROV-S01A-F03-P-MF04.wav,0.016667,0.203333,0.763333,0.016667,0.4,0.25,3,Female,Development,neutral
657,MSP-IMPROV-S01A-F03-P-MF05.wav,0.016667,0.016667,0.203333,0.763333,0.4,0.7,3,Female,Development,happy
658,MSP-IMPROV-S01A-F03-P-MF06.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.44999999999999996,3,Female,Development,neutral
659,MSP-IMPROV-S01A-F03-P-MF07.wav,0.016667,0.016667,0.016667,0.95,0.20833325000000003,0.8333332499999999,3,Female,Development,happy
660,MSP-IMPROV-S01A-F03-P-MF08.wav,0.016667,0.016667,0.95,0.016667,0.35,0.55,3,Female,Development,neutral
661,MSP-IMPROV-S01A-F03-P-MF09.wav,0.016667,0.016667,0.016667,0.95,0.375,0.8333332499999999,3,Female,Development,happy
663,MSP-IMPROV-S01A-F03-P-MF11.wav,0.016667,0.016667,0.763333,0.203333,0.25,0.6,3,Female,Development,neutral
664,MSP-IMPROV-S01A-F03-P-MF12.wav,0.016667,0.016667,0.95,0.016667,0.30000000000000004,0.6,3,Female,Development,neutral
666,MSP-IMPROV-S01A-F03-S-FM02.wav,0.016667,0.016667,0.95,0.016667,0.45833325,0.29166675,3,Female,Development,neutral
667,MSP-IMPROV-S01A-F03-S-FM03.wav,0.763333,0.016667,0.203333,0.016667,0.54166675,0.29166675,3,Female,Development,angry
668,MSP-IMPROV-S01A-F03-S-FM04.wav,0.172222,0.638889,0.172222,0.016667,0.46428575000000005,0.25,3,Female,Development,sad
669,MSP-IMPROV-S01A-F03-S-FM05.wav,0.016667,0.576667,0.39,0.016667,0.4,0.30000000000000004,3,Female,Development,sad
670,MSP-IMPROV-S01A-F03-S-FM06.wav,0.016667,0.39,0.576667,0.016667,0.30000000000000004,0.30000000000000004,3,Female,Development,neutral
671,MSP-IMPROV-S01A-F03-S-FM07.wav,0.016667,0.638889,0.327778,0.016667,0.55,0.65,3,Female,Development,sad
673,MSP-IMPROV-S01A-F03-S-MF01.wav,0.016667,0.016667,0.39,0.576667,0.25,0.65,3,Female,Development,happy
674,MSP-IMPROV-S01A-F03-S-MF02.wav,0.016667,0.016667,0.794444,0.172222,0.25,0.45833325,3,Female,Development,neutral
675,MSP-IMPROV-S01A-F03-S-MF03.wav,0.016667,0.016667,0.95,0.016667,0.30000000000000004,0.44999999999999996,3,Female,Development,neutral
676,MSP-IMPROV-S01A-F03-S-MF04.wav,0.203333,0.016667,0.203333,0.576667,0.25,0.65,3,Female,Development,happy
677,MSP-IMPROV-S01A-F03-S-MF05.wav,0.016667,0.25,0.716667,0.016667,0.35,0.30000000000000004,3,Female,Development,neutral
678,MSP-IMPROV-S01A-F03-S-MF06.wav,0.016667,0.016667,0.95,0.016667,0.35,0.35,3,Female,Development,neutral
679,MSP-IMPROV-S01A-F03-S-MF07.wav,0.25,0.25,0.483333,0.016667,0.44999999999999996,0.30000000000000004,3,Female,Development,neutral
