,FileName,frustrated,angry,sad,disgust,fear,neutral,surprise,happy,EmoAct,EmoVal,SpkrID,Gender,Split_Set,dominant_emotion
5789,Ses04M_impro06_M016.wav,0.00625,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.0125,0.25,0.25,4,Male,Test,sad
5791,Ses04F_impro04_M028.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.5,0.5,4,Male,Test,neutral
5793,Ses04M_impro07_M012.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641667,0.5,0.625,4,Male,Test,happy
5794,Ses04M_impro01_F008.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.625,0.25,4,Female,Test,frustrated
5795,Ses04F_impro05_M001.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.25,0.375,4,Male,Test,frustrated
5796,Ses04F_impro04_M002.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.375,0.375,4,Male,Test,neutral
5797,Ses04F_impro07_M044.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.5,0.625,4,Male,Test,neutral
5798,Ses04F_impro01_M008.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Male,Test,angry
5799,Ses04M_script02_1_F012.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,angry
5801,Ses04F_impro08_M027.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.25,4,Male,Test,frustrated
5802,Ses04M_script03_1_M015.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.375,0.375,4,Male,Test,happy
5803,Ses04M_impro02_M021.wav,0.635417,0.00625,0.320833,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Male,Test,frustrated
5805,Ses04M_script02_2_F028.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.875,0.125,4,Female,Test,angry
5806,Ses04F_script02_1_F000.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.635417,0.00625,0.0125,0.25,0.5,4,Female,Test,neutral
5807,Ses04F_impro07_M055.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.5,0.75,4,Male,Test,happy
5808,Ses04M_impro03_F017.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.625,0.75,4,Female,Test,happy
5809,Ses04M_impro07_F031.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.75,0.75,4,Female,Test,happy
5810,Ses04F_script01_3_M025.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.375,0.25,4,Male,Test,frustrated
5811,Ses04F_script03_1_F001.wav,0.320833,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,0.32708299999999996,0.75,0.375,4,Female,Test,happy
5812,Ses04F_impro07_M073.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.95,0.00625,0.0125,0.375,0.75,4,Male,Test,neutral
5813,Ses04M_script02_1_M031.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.625,0.625,4,Male,Test,happy
5814,Ses04F_impro07_M020.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.375,0.625,4,Male,Test,neutral
5815,Ses04F_impro04_F013.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.875,0.125,4,Female,Test,angry
5816,Ses04F_script02_2_F023.wav,0.00625,0.00625,0.635417,0.00625,0.00625,0.00625,0.00625,0.32708299999999996,0.75,0.75,4,Female,Test,sad
5817,Ses04M_impro05_F005.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.320833,0.32708299999999996,0.25,0.375,4,Female,Test,happy
5818,Ses04F_impro07_F058.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.625,0.875,4,Female,Test,happy
5819,Ses04F_script02_2_M042.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.32708299999999996,0.625,0.5,4,Male,Test,surprise
5820,Ses04F_impro03_M000.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.95,0.00625,0.0125,0.5,0.625,4,Male,Test,neutral
5821,Ses04F_impro06_M013.wav,0.00625,0.00625,0.635417,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.75,4,Male,Test,sad
5822,Ses04F_script03_2_M040.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.25,4,Male,Test,angry
5823,Ses04M_script01_1_M042.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.25,4,Male,Test,frustrated
5825,Ses04F_script03_2_M000.wav,0.00625,0.320833,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.5,0.5,4,Male,Test,neutral
5826,Ses04M_impro07_M038.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.5,0.625,4,Male,Test,happy
5828,Ses04M_script02_2_M021.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.5,0.375,4,Male,Test,neutral
5829,Ses04F_script03_1_F018.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.625,0.25,4,Female,Test,happy
5830,Ses04M_script01_3_M011.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.5,0.25,4,Male,Test,happy
5831,Ses04F_script02_2_M001.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.5,0.375,4,Male,Test,happy
5832,Ses04M_script03_2_M055.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.75,0.125,4,Male,Test,angry
5833,Ses04M_impro05_M012.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.5,4,Male,Test,frustrated
5834,Ses04M_script01_1_M040.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.375,0.375,4,Male,Test,neutral
5835,Ses04F_script01_3_M011.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.00625,0.00625,0.641667,0.625,0.375,4,Male,Test,happy
5838,Ses04M_impro04_M008.wav,0.635417,0.00625,0.00625,0.00625,0.320833,0.00625,0.00625,0.0125,0.58333325,0.25,4,Male,Test,frustrated
5839,Ses04M_impro06_F018.wav,0.00625,0.00625,0.635417,0.00625,0.00625,0.320833,0.00625,0.0125,0.375,0.375,4,Female,Test,sad
5840,Ses04M_script01_2_F001.wav,0.00625,0.320833,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.25,0.5,4,Female,Test,neutral
5841,Ses04M_impro07_M031.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.625,0.75,4,Male,Test,happy
5843,Ses04M_impro07_F005.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.320833,0.32708299999999996,0.625,0.75,4,Female,Test,happy
5844,Ses04M_impro01_M013.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.125,4,Male,Test,frustrated
5845,Ses04F_impro07_F006.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.956251,0.875,0.875,4,Female,Test,happy
5846,Ses04F_impro07_F078.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.75,0.875,4,Female,Test,happy
5847,Ses04M_impro03_M021.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.956251,0.75,0.75,4,Male,Test,happy
5848,Ses04F_impro03_F024.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.641666,0.625,0.5,4,Female,Test,happy
5849,Ses04M_impro07_F018.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641667,0.75,0.875,4,Female,Test,happy
5852,Ses04M_script03_2_F011.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.375,0.75,4,Female,Test,happy
5853,Ses04M_script01_3_F015.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.375,0.75,4,Female,Test,happy
5854,Ses04F_impro03_M007.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.5,0.75,4,Male,Test,happy
5855,Ses04F_impro02_F023.wav,0.195,0.195,0.5725,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.125,4,Female,Test,sad
5856,Ses04M_script01_1_F041.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,angry
5857,Ses04M_impro07_M037.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.625,0.5,4,Male,Test,neutral
5858,Ses04F_script02_1_M023.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.641667,0.625,0.5,4,Male,Test,happy
5859,Ses04M_impro01_M006.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.625,0.25,4,Male,Test,frustrated
5860,Ses04F_script03_1_F010.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.375,0.75,4,Female,Test,happy
5862,Ses04F_script01_2_M012.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,frustrated
5863,Ses04F_script03_2_F028.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Female,Test,angry
5864,Ses04M_impro02_M034.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.375,4,Male,Test,frustrated
5866,Ses04F_script03_2_F023.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.75,4,Female,Test,angry
5867,Ses04M_script03_2_M013.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.25,4,Male,Test,angry
5868,Ses04M_impro08_F020.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.25,0.5,4,Female,Test,neutral
5869,Ses04F_impro07_F050.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.5,0.625,4,Female,Test,happy
5871,Ses04M_script03_2_F039.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,angry
5872,Ses04M_script02_1_F019.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.25,4,Female,Test,frustrated
5874,Ses04M_script03_1_M020.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.75,0.25,4,Male,Test,happy
5877,Ses04M_script01_1_M038.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.75,0.25,4,Male,Test,angry
5878,Ses04M_script03_1_F001.wav,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.00625,0.32708299999999996,0.75,0.25,4,Female,Test,fear
5879,Ses04F_script02_1_M040.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.625,0.75,4,Male,Test,happy
5880,Ses04F_impro02_F003.wav,0.320833,0.00625,0.635417,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.25,4,Female,Test,sad
5881,Ses04M_script03_2_M051.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,angry
5882,Ses04F_impro04_F006.wav,0.242188,0.714063,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.875,0.125,4,Female,Test,angry
5883,Ses04M_script03_2_M041.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.375,4,Male,Test,angry
5884,Ses04F_impro02_M009.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,frustrated
5885,Ses04F_script03_2_F003.wav,0.242188,0.242188,0.00625,0.00625,0.00625,0.00625,0.00625,0.484376,0.625,0.375,4,Female,Test,happy
5886,Ses04M_script03_2_M017.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.5,4,Male,Test,frustrated
5887,Ses04F_script03_1_F030.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.75,0.75,4,Female,Test,happy
5888,Ses04M_impro07_F028.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.5,0.625,4,Female,Test,happy
5889,Ses04M_impro06_M005.wav,0.00625,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.0125,0.25,0.25,4,Male,Test,sad
5891,Ses04F_impro03_F013.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.625,0.75,4,Female,Test,happy
5893,Ses04F_impro07_M049.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.875,0.75,4,Male,Test,happy
5894,Ses04F_impro03_F009.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.956251,0.75,1.0,4,Female,Test,happy
5895,Ses04M_impro06_F017.wav,0.00625,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.0125,0.25,0.375,4,Female,Test,sad
5896,Ses04M_script03_2_F035.wav,0.242188,0.714063,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,angry
5897,Ses04F_script02_2_F005.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.875,0.0,4,Female,Test,angry
5898,Ses04F_script01_1_M035.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Male,Test,frustrated
5899,Ses04M_impro06_F003.wav,0.00625,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.0125,0.25,0.375,4,Female,Test,sad
5900,Ses04F_impro04_M015.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.375,0.375,4,Male,Test,neutral
5901,Ses04F_script03_2_M027.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.125,4,Male,Test,angry
5902,Ses04F_impro07_M023.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.625,0.625,4,Male,Test,neutral
5903,Ses04M_script01_2_F002.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.41666675,4,Female,Test,angry
5904,Ses04F_impro01_F001.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.75,0.375,4,Female,Test,frustrated
5905,Ses04M_script01_1_M010.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,frustrated
5906,Ses04F_impro07_M045.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.5,0.75,4,Male,Test,happy
5907,Ses04M_script01_2_F006.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.33333325,4,Female,Test,angry
5908,Ses04M_impro01_F019.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,angry
5910,Ses04M_script03_2_M011.wav,0.00625,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.0125,0.875,0.25,4,Male,Test,angry
5913,Ses04F_impro07_M034.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.625,0.625,4,Male,Test,happy
5914,Ses04F_script02_1_F017.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.25,4,Female,Test,angry
5915,Ses04M_impro08_M020.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.95,0.00625,0.0125,0.625,0.5,4,Male,Test,neutral
5916,Ses04M_script02_2_F022.wav,0.635417,0.00625,0.320833,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.25,4,Female,Test,frustrated
5917,Ses04F_script03_2_M037.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,angry
5918,Ses04F_script03_2_M016.wav,0.00625,0.635417,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.375,0.5,4,Male,Test,angry
5919,Ses04F_impro03_M039.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.625,0.75,4,Male,Test,happy
5920,Ses04M_impro07_F025.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.320833,0.32708299999999996,0.75,0.75,4,Female,Test,happy
5921,Ses04F_impro02_F005.wav,0.00625,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.0125,0.25,0.125,4,Female,Test,sad
5922,Ses04F_script01_2_F005.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,angry
5923,Ses04F_impro04_M007.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.375,0.5,4,Male,Test,neutral
5924,Ses04M_script01_2_M017.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.25,4,Male,Test,frustrated
5926,Ses04M_impro08_F017.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Female,Test,frustrated
5927,Ses04M_impro07_M035.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.5,0.375,4,Male,Test,neutral
5928,Ses04M_script02_2_F018.wav,0.00625,0.00625,0.635417,0.00625,0.00625,0.00625,0.00625,0.32708299999999996,0.5,0.75,4,Female,Test,sad
5929,Ses04F_impro03_F039.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.375,0.75,4,Female,Test,happy
5930,Ses04M_script03_2_F003.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.5,0.75,4,Female,Test,happy
5931,Ses04F_script03_1_M023.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.625,0.5,4,Male,Test,happy
5932,Ses04M_script03_2_M049.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.125,4,Male,Test,angry
5933,Ses04M_script02_1_F011.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,frustrated
5934,Ses04M_impro05_M025.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,frustrated
5935,Ses04M_impro07_F014.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.75,0.875,4,Female,Test,happy
5936,Ses04F_impro04_F004.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,1.0,0.125,4,Female,Test,frustrated
5937,Ses04F_impro08_M007.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Male,Test,frustrated
5938,Ses04M_impro08_M027.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.635417,0.00625,0.0125,0.5,0.625,4,Male,Test,neutral
5939,Ses04M_impro04_F007.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.41666675,0.5,4,Female,Test,neutral
5940,Ses04F_script01_2_M001.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.0125,0.375,0.5,4,Male,Test,neutral
5941,Ses04F_script02_2_F011.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.875,0.125,4,Female,Test,angry
5942,Ses04F_script03_1_M031.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.625,0.25,4,Male,Test,neutral
5944,Ses04F_script01_1_M040.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.25,4,Male,Test,frustrated
5945,Ses04M_script02_2_M005.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.375,0.375,4,Male,Test,frustrated
5946,Ses04F_impro08_M003.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.375,4,Male,Test,frustrated
5948,Ses04M_script01_2_F009.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.25,4,Female,Test,angry
5950,Ses04F_impro01_F014.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.75,0.125,4,Female,Test,angry
5951,Ses04M_script01_3_F024.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.5,0.375,4,Female,Test,happy
5952,Ses04M_script03_1_F003.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.641666,0.5,0.75,4,Female,Test,happy
5953,Ses04F_impro03_M048.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.375,0.625,4,Male,Test,happy
5955,Ses04F_script03_1_F023.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.75,0.875,4,Female,Test,happy
5956,Ses04M_impro03_M024.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.75,0.875,4,Male,Test,happy
5957,Ses04F_impro03_F047.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.5,0.875,4,Female,Test,happy
5958,Ses04M_script02_2_M024.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.375,4,Male,Test,frustrated
5959,Ses04M_impro07_M004.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.5,0.75,4,Male,Test,happy
5960,Ses04F_impro01_M014.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Male,Test,angry
5961,Ses04F_script03_2_F030.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.375,4,Female,Test,angry
5962,Ses04M_script01_1_F039.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,4,Female,Test,angry
5963,Ses04M_script03_2_M023.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.375,4,Male,Test,frustrated
5964,Ses04F_impro03_F015.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.5,0.75,4,Female,Test,happy
5965,Ses04F_script02_1_F013.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.75,0.125,4,Female,Test,angry
5967,Ses04M_script01_3_M010.wav,0.00625,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.375,0.25,4,Male,Test,happy
